name,ticker,cik,sector,industry,sic
ABACUS DIRECT CORP,ABDR1,1021080,Consumer Cyclical,Advertising Agencies,7331
ADVO INC,AD,801622,Consumer Cyclical,Advertising Agencies,7331
ADTHEORENT HOLDING COMPANY INC,ADTH,1838672,Consumer Cyclical,Advertising Agencies,7370
ADVANTAGE SOLUTIONS INC,ADV,1776661,Consumer Cyclical,Advertising Agencies,7389
ACKERLEY GROUP INC,AK,319120,Consumer Cyclical,Advertising Agencies,7310
ALLOY INC,ALOY,1080359,Consumer Cyclical,Advertising Agencies,7310
AT PLAN INC,APLN,1081614,Consumer Cyclical,Advertising Agencies,7310
BAOSHENG MEDIA GROUP HOLDINGS LTD,BAOS,1811216,Consumer Cyclical,Advertising Agencies,7389
BITAUTO HOLDINGS LTD,BITA,1499781,Consumer Cyclical,Advertising Agencies,7374
BOSTON OMAHA CORP,BOC,1494582,Consumer Cyclical,Advertising Agencies,6510
BULL RUN CORP,BULL,319697,Consumer Cyclical,Advertising Agencies,7311
CHINA CENTURY DRAGON MEDIA INC,CCDM,1423242,Consumer Cyclical,Advertising Agencies,7310
CHINA MEDIAEXPRESS HOLDINGS INC,CCME,1399067,Consumer Cyclical,Advertising Agencies,7310
CLEAR CHANNEL OUTDOOR HOLDINGS INC,CCO,1334978,Consumer Cyclical,Advertising Agencies,7310
CYBERGOLD INC,CGLD2,1086937,Consumer Cyclical,Advertising Agencies,7311
CHARM COMMUNICATIONS INC,CHRM,1485487,Consumer Cyclical,Advertising Agencies,7311
V MEDIA CORP,CMDI,1080627,Consumer Cyclical,Advertising Agencies,7310
MKTG INC,CMKG,886475,Consumer Cyclical,Advertising Agencies,7310
CIMPRESS PLC,CMPR,1262976,Consumer Cyclical,Advertising Agencies,2750
ZW DATA ACTION TECHNOLOGIES INC,CNET,1376321,Consumer Cyclical,Advertising Agencies,7370
CONVERSANT INC,CNVR,1080034,Consumer Cyclical,Advertising Agencies,7311
CHINA YIDA HOLDING CO,CNYD,1091325,Consumer Cyclical,Advertising Agencies,7310
POP CULTURE GROUP CO LTD,CPOP,1807389,Consumer Cyclical,Advertising Agencies,7900
CRITEO SA,CRTO,1576427,Consumer Cyclical,Advertising Agencies,7311
CONSTANT CONTACT INC,CTCT,1405277,Consumer Cyclical,Advertising Agencies,7331
INNOVID CORP,CTV,1835378,Consumer Cyclical,Advertising Agencies,7372
DEX ONE CORP,DEXO,30419,Consumer Cyclical,Advertising Agencies,7310
DELUXE CORP,DLX,27996,Consumer Cyclical,Advertising Agencies,2780
DIGITAL MEDIA SOLUTIONS INC,DMS,1725134,Consumer Cyclical,Advertising Agencies,7389
DUN & BRADSTREET CORP,DNB1,1059556,Consumer Cyclical,Advertising Agencies,7310
DUN & BRADSTREET CORP,DNB2,30419,Consumer Cyclical,Advertising Agencies,7310
DIRECT DIGITAL HOLDINGS INC,DRCT,1880613,Consumer Cyclical,Advertising Agencies,7370
DEX MEDIA INC,DXMMQ,1556739,Consumer Cyclical,Advertising Agencies,7310
EMERALD HOLDING INC,EEX,1579214,Consumer Cyclical,Advertising Agencies,7389
EMAK WORLDWIDE INC,EMAKQ,911151,Consumer Cyclical,Advertising Agencies,7311
FAZE HOLDINGS INC,FAZE,1839360,Consumer Cyclical,Advertising Agencies,7310
FLYCAST COMMUNICATIONS CORP,FCST,1078292,Consumer Cyclical,Advertising Agencies,7311
FLUENT INC,FLNT,1460329,Consumer Cyclical,Advertising Agencies,7310
FOCUS MEDIA HOLDING LTD,FMCN,1330017,Consumer Cyclical,Advertising Agencies,7311
FASTCLICK INC,FSTC1,1116924,Consumer Cyclical,Advertising Agencies,7310
GREY GLOBAL GROUP INC,GREY,43952,Consumer Cyclical,Advertising Agencies,7311
GLOBAL SOURCES LTD,GSOL1,1110650,Consumer Cyclical,Advertising Agencies,7310
